Selection	View	Channel	Begin Time (s)	End Time (s)	Low Freq (Hz)	High Freq (Hz)	File Name	model.type	probability	signal
101	Spectrogram 1	1	3532.758	3540.998	500	1600	S17_20180306_080003	SVM	0.381	female.gibbon
102	Spectrogram 1	1	3532.758	3540.998	500	1600	S17_20180306_080003	RF	0.554	female.gibbon
103	Spectrogram 1	1	3610.81	3617.261	500	1600	S17_20180306_080003	SVM	0.45	female.gibbon
104	Spectrogram 1	1	3610.81	3617.261	500	1600	S17_20180306_080003	RF	0.394	female.gibbon
105	Spectrogram 1	1	3620.601	3625.801	500	1600	S17_20180306_080003	SVM	0.29	female.gibbon
106	Spectrogram 1	1	3620.601	3625.801	500	1600	S17_20180306_080003	RF	0.272	female.gibbon
107	Spectrogram 1	1	3654.482	3670.272	500	1600	S17_20180306_080003	SVM	0.507	female.gibbon
108	Spectrogram 1	1	3654.482	3670.272	500	1600	S17_20180306_080003	RF	0.36	female.gibbon
109	Spectrogram 1	1	3678.273	3695.833	500	1600	S17_20180306_080003	SVM	0.397	female.gibbon
110	Spectrogram 1	1	3678.273	3695.833	500	1600	S17_20180306_080003	RF	0.427	female.gibbon
111	Spectrogram 1	1	3697.623	3715.304	500	1600	S17_20180306_080003	SVM	0.204	female.gibbon
112	Spectrogram 1	1	3697.623	3715.304	500	1600	S17_20180306_080003	RF	0.217	female.gibbon
113	Spectrogram 1	1	3755.625	3766.106	500	1600	S17_20180306_080003	SVM	0.805	female.gibbon
114	Spectrogram 1	1	3755.625	3766.106	500	1600	S17_20180306_080003	RF	0.672	female.gibbon
115	Spectrogram 1	1	3991.923	4002.233	500	1600	S17_20180306_080003	SVM	0.543	female.gibbon
116	Spectrogram 1	1	3991.923	4002.233	500	1600	S17_20180306_080003	RF	0.386	female.gibbon
117	Spectrogram 1	1	4024.844	4034.175	500	1600	S17_20180306_080003	SVM	0.513	female.gibbon
118	Spectrogram 1	1	4024.844	4034.175	500	1600	S17_20180306_080003	RF	0.38	female.gibbon
119	Spectrogram 1	1	4225.071	4232.081	500	1600	S17_20180306_080003	SVM	0.541	female.gibbon
120	Spectrogram 1	1	4225.071	4232.081	500	1600	S17_20180306_080003	RF	0.374	female.gibbon
121	Spectrogram 1	1	4433.678	4455.779	500	1600	S17_20180306_080003	SVM	0.246	female.gibbon
122	Spectrogram 1	1	4433.678	4455.779	500	1600	S17_20180306_080003	RF	0.16	female.gibbon
123	Spectrogram 1	1	4464.139	4471.809	500	1600	S17_20180306_080003	SVM	0.165	female.gibbon
124	Spectrogram 1	1	4464.139	4471.809	500	1600	S17_20180306_080003	RF	0.176	female.gibbon
125	Spectrogram 1	1	4477.739	4484.55	500	1600	S17_20180306_080003	SVM	0.182	female.gibbon
126	Spectrogram 1	1	4477.739	4484.55	500	1600	S17_20180306_080003	RF	0.178	female.gibbon
127	Spectrogram 1	1	4486.63	4493.05	500	1600	S17_20180306_080003	SVM	0.332	female.gibbon
128	Spectrogram 1	1	4486.63	4493.05	500	1600	S17_20180306_080003	RF	0.16	female.gibbon
129	Spectrogram 1	1	4500	4506.79	500	1600	S17_20180306_080003	SVM	0.351	female.gibbon
130	Spectrogram 1	1	4500	4506.79	500	1600	S17_20180306_080003	RF	0.208	female.gibbon
131	Spectrogram 1	1	4526.251	4553.712	500	1600	S17_20180306_080003	SVM	0.404	female.gibbon
132	Spectrogram 1	1	4526.251	4553.712	500	1600	S17_20180306_080003	RF	0.236	female.gibbon
133	Spectrogram 1	1	4556.932	4565.302	500	1600	S17_20180306_080003	SVM	0.091	female.gibbon
134	Spectrogram 1	1	4556.932	4565.302	500	1600	S17_20180306_080003	RF	0.1	female.gibbon
135	Spectrogram 1	1	4688.116	4693.786	500	1600	S17_20180306_080003	SVM	0.151	female.gibbon
136	Spectrogram 1	1	4688.116	4693.786	500	1600	S17_20180306_080003	RF	0.162	female.gibbon
137	Spectrogram 1	1	4699.457	4707.897	500	1600	S17_20180306_080003	SVM	0.362	female.gibbon
138	Spectrogram 1	1	4699.457	4707.897	500	1600	S17_20180306_080003	RF	0.27	female.gibbon
139	Spectrogram 1	1	4812.06	4822.061	500	1600	S17_20180306_080003	SVM	0.544	female.gibbon
140	Spectrogram 1	1	4812.06	4822.061	500	1600	S17_20180306_080003	RF	0.458	female.gibbon
141	Spectrogram 1	1	5307.647	5314.677	500	1600	S17_20180306_080003	SVM	0.064	female.gibbon
142	Spectrogram 1	1	5307.647	5314.677	500	1600	S17_20180306_080003	RF	0.078	female.gibbon
143	Spectrogram 1	1	5319.387	5329.308	500	1600	S17_20180306_080003	SVM	0.003	female.gibbon
144	Spectrogram 1	1	5319.387	5329.308	500	1600	S17_20180306_080003	RF	0.054	female.gibbon
145	Spectrogram 1	1	5505.184	5512.204	500	1600	S17_20180306_080003	SVM	0.082	female.gibbon
146	Spectrogram 1	1	5505.184	5512.204	500	1600	S17_20180306_080003	RF	0.298	female.gibbon
147	Spectrogram 1	1	5523.134	5533.454	500	1600	S17_20180306_080003	SVM	0.23	female.gibbon
148	Spectrogram 1	1	5523.134	5533.454	500	1600	S17_20180306_080003	RF	0.36	female.gibbon
149	Spectrogram 1	1	5566.936	5598.217	500	1600	S17_20180306_080003	SVM	0.213	female.gibbon
150	Spectrogram 1	1	5566.936	5598.217	500	1600	S17_20180306_080003	RF	0.358	female.gibbon
151	Spectrogram 1	1	5642.928	5688.49	500	1600	S17_20180306_080003	SVM	0.186	female.gibbon
152	Spectrogram 1	1	5642.928	5688.49	500	1600	S17_20180306_080003	RF	0.354	female.gibbon
153	Spectrogram 1	1	5691.81	5699.44	500	1600	S17_20180306_080003	SVM	0.145	female.gibbon
154	Spectrogram 1	1	5691.81	5699.44	500	1600	S17_20180306_080003	RF	0.35	female.gibbon
155	Spectrogram 1	1	5871.436	5881.026	500	1600	S17_20180306_080003	SVM	0.485	female.gibbon
156	Spectrogram 1	1	5871.436	5881.026	500	1600	S17_20180306_080003	RF	0.402	female.gibbon
157	Spectrogram 1	1	5936.108	5941.288	500	1600	S17_20180306_080003	SVM	0.499	female.gibbon
158	Spectrogram 1	1	5936.108	5941.288	500	1600	S17_20180306_080003	RF	0.466	female.gibbon
159	Spectrogram 1	1	6010.08	6026.871	500	1600	S17_20180306_080003	SVM	0.248	female.gibbon
160	Spectrogram 1	1	6010.08	6026.871	500	1600	S17_20180306_080003	RF	0.299	female.gibbon
161	Spectrogram 1	1	6325.631	6339.001	500	1600	S17_20180306_080003	SVM	0.458	female.gibbon
162	Spectrogram 1	1	6325.631	6339.001	500	1600	S17_20180306_080003	RF	0.42	female.gibbon
163	Spectrogram 1	1	6374.002	6379.503	500	1600	S17_20180306_080003	SVM	0.51	female.gibbon
164	Spectrogram 1	1	6374.002	6379.503	500	1600	S17_20180306_080003	RF	0.372	female.gibbon
165	Spectrogram 1	1	6494.837	6500.537	500	1600	S17_20180306_080003	SVM	0.327	female.gibbon
166	Spectrogram 1	1	6494.837	6500.537	500	1600	S17_20180306_080003	RF	0.286	female.gibbon
167	Spectrogram 1	1	6660.072	6665.212	500	1600	S17_20180306_080003	SVM	0.463	female.gibbon
168	Spectrogram 1	1	6660.072	6665.212	500	1600	S17_20180306_080003	RF	0.312	female.gibbon
169	Spectrogram 1	1	6667.732	6680.223	500	1600	S17_20180306_080003	SVM	0.451	female.gibbon
170	Spectrogram 1	1	6667.732	6680.223	500	1600	S17_20180306_080003	RF	0.362	female.gibbon
171	Spectrogram 1	1	7004.666	7017.317	500	1600	S17_20180306_080003	SVM	0.5	female.gibbon
172	Spectrogram 1	1	7004.666	7017.317	500	1600	S17_20180306_080003	RF	0.38	female.gibbon
173	Spectrogram 1	1	7088.66	7095.251	500	1600	S17_20180306_080003	SVM	0.303	female.gibbon
174	Spectrogram 1	1	7088.66	7095.251	500	1600	S17_20180306_080003	RF	0.268	female.gibbon
